211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,
531,83,537,538,86,537,538,537,538,538,83,84,537,538,532,
169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,
261,262,199,272,272,272,272,272,272,272,272,272,200,261,262,
410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,
410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,
410,410,410,410,410,4,3,2,2,410,410,410,410,410,410,
410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,
410,410,410,410,410,4,3,2,2,410,410,410,410,410,410,
410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,
410,410,410,410,410,4,3,2,2,410,410,410,410,410,410,
191,410,410,410,410,410,410,410,410,410,410,410,410,410,410,
177,410,410,410,410,4,3,2,2,410,410,410,410,410,410,
110,177,410,410,410,410,410,410,410,410,410,410,410,410,410,
76,76,410,410,410,410,410,410,410,410,410,410,410,410,410,
596,596,410,410,410,410,410,410,410,410,410,410,410,410,410,
76,76,191,410,410,410,410,410,410,410,410,410,410,410,410,
142,145,410,410,410,410,410,410,410,410,410,410,410,410,410,
145,410,410,410,410,410,410,410,410,410,410,410,410,410,410,
410,410,410,410,410,410,410,410,410,410,410,410,410,410,191,
410,410,410,410,410,410,410,410,410,410,410,410,410,410,502,
410,410,410,410,410,410,410,410,410,410,410,410,410,500,443,
410,410,410,410,410,410,410,410,410,410,410,410,410,470,443,
410,410,410,410,410,410,410,410,410,410,410,410,410,410,468,
191,410,410,410,410,410,410,410,410,410,410,410,410,410,410,
410,191,410,191,410,410,410,410,410,410,410,410,410,410,410,
410,566,565,597,410,410,410,410,410,410,410,410,410,410,410,
270,531,532,597,410,410,410,410,410,410,410,410,410,410,410,
191,191,191,410,191,410,410,410,410,410,410,410,410,410,410,
410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,
419,420,410,410,410,410,410,410,410,410,410,410,410,410,410,
451,452,410,410,410,410,410,410,410,410,410,410,410,410,410,
410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,
410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,
410,410,410,410,410,410,410,410,410,410,410,410,410,419,420,
410,410,410,410,410,410,410,410,410,410,410,410,410,451,452,
410,593,410,410,410,410,410,410,410,410,410,410,410,410,410,
410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,
419,420,410,410,410,410,410,410,410,410,410,410,410,410,410,
451,452,410,410,410,410,410,410,410,410,410,410,410,410,593,
410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,
410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,
410,410,410,410,410,410,410,410,410,410,410,410,423,424,410,
410,410,410,410,410,410,410,410,410,410,410,410,455,456,410,
410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,
410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,
483,483,483,485,487,483,483,483,485,485,455,410,410,410,410,
410,410,410,410,410,410,410,410,410,410,410,455,487,485,485,
410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,
410,410,410,410,410,410,410,410,410,410,410,410,410,410,410
